
🔁 Fold 1/3 for GraphSAGE
[GraphSAGE][Fold 1] Epoch 18/50, Hidden=64, LR=0.01, Loss=50140556.0000, Test AUC=0.5257
[GraphSAGE][Fold 1] Epoch 19/50, Hidden=64, LR=0.01, Loss=48106176.0000, Test AUC=0.5257
[GraphSAGE][Fold 1] Epoch 20/50, Hidden=64, LR=0.01, Loss=46231148.0000, Test AUC=0.5254
[GraphSAGE][Fold 1] Epoch 21/50, Hidden=64, LR=0.01, Loss=41556048.0000, Test AUC=0.5254
[GraphSAGE][Fold 1] Epoch 22/50, Hidden=64, LR=0.01, Loss=37888300.0000, Test AUC=0.5279
[GraphSAGE][Fold 1] Epoch 23/50, Hidden=64, LR=0.01, Loss=31789720.0000, Test AUC=0.5303
[GraphSAGE][Fold 1] Epoch 24/50, Hidden=64, LR=0.01, Loss=26706352.0000, Test AUC=0.5306
[GraphSAGE][Fold 1] Epoch 25/50, Hidden=64, LR=0.01, Loss=22110810.0000, Test AUC=0.5328
[GraphSAGE][Fold 1] Epoch 26/50, Hidden=64, LR=0.01, Loss=17748678.0000, Test AUC=0.5337
[GraphSAGE][Fold 1] Epoch 27/50, Hidden=64, LR=0.01, Loss=15216616.0000, Test AUC=0.5340
[GraphSAGE][Fold 1] Epoch 28/50, Hidden=64, LR=0.01, Loss=13435832.0000, Test AUC=0.5331
[GraphSAGE][Fold 1] Epoch 29/50, Hidden=64, LR=0.01, Loss=12217936.0000, Test AUC=0.5303
[GraphSAGE][Fold 1] Epoch 30/50, Hidden=64, LR=0.01, Loss=11657214.0000, Test AUC=0.5282
[GraphSAGE][Fold 1] Epoch 31/50, Hidden=64, LR=0.01, Loss=11135608.0000, Test AUC=0.5291
[GraphSAGE][Fold 1] Epoch 32/50, Hidden=64, LR=0.01, Loss=10481252.0000, Test AUC=0.5303
[GraphSAGE][Fold 1] Epoch 33/50, Hidden=64, LR=0.01, Loss=10149059.0000, Test AUC=0.5288
[GraphSAGE][Fold 1] Epoch 34/50, Hidden=64, LR=0.01, Loss=9729611.0000, Test AUC=0.5270
[GraphSAGE][Fold 1] Epoch 35/50, Hidden=64, LR=0.01, Loss=9653904.0000, Test AUC=0.5254
[GraphSAGE][Fold 1] Epoch 36/50, Hidden=64, LR=0.01, Loss=8989901.0000, Test AUC=0.5230
[GraphSAGE][Fold 1] Epoch 37/50, Hidden=64, LR=0.01, Loss=8807535.0000, Test AUC=0.5245
[GraphSAGE][Fold 1] Epoch 38/50, Hidden=64, LR=0.01, Loss=8431271.0000, Test AUC=0.5242
[GraphSAGE][Fold 1] Epoch 39/50, Hidden=64, LR=0.01, Loss=7833426.0000, Test AUC=0.5236
[GraphSAGE][Fold 1] Epoch 40/50, Hidden=64, LR=0.01, Loss=7533616.5000, Test AUC=0.5260
[GraphSAGE][Fold 1] Epoch 41/50, Hidden=64, LR=0.01, Loss=6862892.0000, Test AUC=0.5257
[GraphSAGE][Fold 1] Epoch 42/50, Hidden=64, LR=0.01, Loss=6778117.5000, Test AUC=0.5288
[GraphSAGE][Fold 1] Epoch 43/50, Hidden=64, LR=0.01, Loss=6211761.0000, Test AUC=0.5279
[GraphSAGE][Fold 1] Epoch 44/50, Hidden=64, LR=0.01, Loss=5809975.5000, Test AUC=0.5282
[GraphSAGE][Fold 1] Epoch 45/50, Hidden=64, LR=0.01, Loss=5543631.5000, Test AUC=0.5279
[GraphSAGE][Fold 1] Epoch 46/50, Hidden=64, LR=0.01, Loss=5386486.5000, Test AUC=0.5285
[GraphSAGE][Fold 1] Epoch 47/50, Hidden=64, LR=0.01, Loss=4925553.0000, Test AUC=0.5306
[GraphSAGE][Fold 1] Epoch 48/50, Hidden=64, LR=0.01, Loss=5009662.5000, Test AUC=0.5331
[GraphSAGE][Fold 1] Epoch 49/50, Hidden=64, LR=0.01, Loss=4746059.0000, Test AUC=0.5343
[GraphSAGE][Fold 1] Epoch 50/50, Hidden=64, LR=0.01, Loss=4420127.0000, Test AUC=0.5346
[GraphSAGE][Fold 1] Epoch 1/50, Hidden=64, LR=0.001, Loss=2187535104.0000, Test AUC=0.5000
[GraphSAGE][Fold 1] Epoch 2/50, Hidden=64, LR=0.001, Loss=1860639232.0000, Test AUC=0.5000
[GraphSAGE][Fold 1] Epoch 3/50, Hidden=64, LR=0.001, Loss=1564414848.0000, Test AUC=0.5000
[GraphSAGE][Fold 1] Epoch 4/50, Hidden=64, LR=0.001, Loss=1326510080.0000, Test AUC=0.5000
